otu_rep,rank_value,taxon_key,kingdom,phylum,class,order,family,target_value_from_sidecov,matched_rows_in_sidecov,p_main,z_main,p_adjusted,clFDR,xA,xB,xC,A_sidecov,B_sidecov,C_sidecov,chai_q05,chai_q10,bh_q05,bh_q10
OTU_5,f__Porphyromonadaceae,Porphyromonadaceae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae,1,0.03326699870346174,-2.128846060250293,0.35643212896566145,0.06198097884516059,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_175,f__Lactobacillaceae,Lactobacillaceae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillaceae,1,0.029777973438831394,-2.173031142791574,0.35643212896566145,0.06458019443716885,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_479,f__Dehalobacteriaceae,Dehalobacteriaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,Dehalobacteriaceae,1,0.029617664667833284,-2.175166191899471,0.35643212896566145,0.0647892580688334,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_39,f__Clostridiaceae,Clostridiaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridiaceae,1,0.14582541398394827,-1.454436184706849,0.4620424690533197,0.08294942217551249,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_341,f__Gemellaceae,Gemellaceae,Bacteria,Firmicutes,Bacilli,Gemellales,Gemellaceae,Gemellaceae,1,0.14794518685188277,-1.4468276991157838,0.4620424690533197,0.08305485093920596,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_95,f__Fusobacteriaceae,Fusobacteriaceae,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacteriaceae,1,0.05259844332302228,-1.9382031440985028,0.41621202135270424,0.08364327156022637,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_147,f__Muribaculaceae,Muribaculaceae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculaceae,1,0.05536998745793767,-1.9159615700801413,0.41621202135270424,0.09084399732030314,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_16,f__unclassified RF32,unclassified RF32,Bacteria,Proteobacteria,Alphaproteobacteria,RF32,unclassified RF32,unclassified RF32,1,0.13358641091198378,-1.5001080698514064,0.4620424690533197,0.09611125653760434,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_374,f__unclassified SHA-98,unclassified SHA-98,Bacteria,Firmicutes,Clostridia,SHA-98,unclassified SHA-98,unclassified SHA-98,1,0.05787178787522074,-1.8966678619897874,0.41621202135270424,0.09844379309662496,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_646,f__Eubacteriaceae,Eubacteriaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacteriaceae,1,0.06126940348762515,-1.8715462649891632,0.41621202135270424,0.1107087847283366,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_284,f__Turicibacteraceae,Turicibacteraceae,Bacteria,Firmicutes,Bacilli,Turicibacterales,Turicibacteraceae,Turicibacteraceae,1,0.12875334293273125,-1.5190363642429792,0.4620424690533197,0.11148778987721815,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_168,f__Candidatus Izemoplasmataceae,Candidatus Izemoplasmataceae,Bacteria,Tenericutes,Mollicutes,Candidatus Izemoplasmatales,Candidatus Izemoplasmataceae,Candidatus Izemoplasmataceae,1,0.020254709057548396,-2.321595822389081,0.35643212896566145,0.11648054010803906,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_1127,f__Anaeroplasmataceae,Anaeroplasmataceae,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasmataceae,1,0.17249585511323937,-1.364227883091226,0.4620424690533197,0.1348934886506799,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_179,f__unclassified ML615J-28,unclassified ML615J-28,Bacteria,Tenericutes,RF3,ML615J-28,unclassified ML615J-28,unclassified ML615J-28,1,0.17249585511323937,-1.364227883091226,0.4620424690533197,0.1348934886506799,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_732,f__Synergistaceae,Synergistaceae,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistaceae,1,0.17249585511323937,-1.364227883091226,0.4620424690533197,0.1348934886506799,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_7,f__Ruminococcaceae,Ruminococcaceae,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae,1,1.7327934935486655e-4,-3.75508978597041,0.01299595120161499,11.3974579332832,1.95996398454005,0,0,1.959964,0,0,FALSE,FALSE,TRUE,TRUE
OTU_307,f__unclassified Streptophyta,unclassified Streptophyta,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,unclassified Streptophyta,unclassified Streptophyta,1,0.002482812674119428,-3.025428296005213,0.09310547527947854,177.11560146791004,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE
