otu_rep,rank_value,taxon_key,kingdom,phylum,class,order,family,genus_from_sidecov,matched_rows_in_sidecov,p_main,z_main,p_adjusted,clFDR,xA,xB,xC,A_sidecov,B_sidecov,C_sidecov,chai_q05,chai_q10,bh_q05,bh_q10
OTU_7,g__Faecalibacterium,Faecalibacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,1,0.0067152986406239365,-2.71064249907646,0.5443790662382685,0.0014566799711830827,1.95996398454005,1.95996398454005,0,1.959964,1.959964,0,TRUE,TRUE,FALSE,FALSE
OTU_5,g__Parabacteroides,Parabacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,1,0.07638869200109141,-1.772035334332053,0.6457860635481326,0.03756510881628826,0,1.95996398454005,0,0,1.959964,0,TRUE,TRUE,FALSE,FALSE
OTU_95,g__Fusobacterium,Fusobacterium,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,1,0.02184308819928332,-2.2930854099193554,0.5443790662382685,0.08038853634937694,-1.95996398454005,0,0,-1.959964,0,0,TRUE,TRUE,FALSE,FALSE
OTU_18,g__Oscillospira,Oscillospira,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira,1,0.04172920643232406,-2.0362106585895887,0.6125618780512385,0.08884205186456615,-1.95996398454005,0,0,-1.959964,0,0,FALSE,TRUE,FALSE,FALSE
OTU_307,g__unclassified Streptophyta,unclassified Streptophyta,Bacteria,Cyanobacteria,Chloroplast,Streptophyta,unclassified Streptophyta,unclassified Streptophyta,1,0.002482812674119428,-3.025428296005213,0.4618031573862136,0.11325206225052116,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_716,g__Barnesiella,Barnesiella,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,1,0.18071271410826076,-1.3385638103996744,0.6457860635481326,0.11482152532857484,-2.96773792534179,0,0,-2.967738,0,0,FALSE,TRUE,FALSE,FALSE
OTU_30,g__Phascolarctobacterium,Phascolarctobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium,1,0.013085484103963369,-2.4814342716406106,0.5443790662382685,0.1154586326309887,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_416,g__Rothia,Rothia,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,1,0.013985128082219736,-2.4576451558009333,0.5443790662382685,0.11585915261233606,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_39,g__Clostridium,Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae | Peptostreptococcaceae,Clostridium,2,0.23404904821503866,-1.1899932420328765,0.6457860635481326,0.11636806442840533,-3.8318120810627114,0,0,-2.7095,0,0,FALSE,TRUE,FALSE,FALSE
OTU_168,g__unclassified Candidatus Izemoplasma,unclassified Candidatus Izemoplasma,Bacteria,Tenericutes,Mollicutes,Candidatus Izemoplasmatales,Candidatus Izemoplasmataceae,unclassified Candidatus Izemoplasma,1,0.020254709057548396,-2.321595822389081,0.5443790662382685,0.11897296772362623,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_204,g__unclassified Desulfovibrionaceae,unclassified Desulfovibrionaceae,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,unclassified Desulfovibrionaceae,1,0.02415372648335158,-2.2546751512187853,0.5443790662382685,0.12070736946185204,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_479,g__Dehalobacterium,Dehalobacterium,Bacteria,Firmicutes,Clostridia,Clostridiales,Dehalobacteriaceae,Dehalobacterium,1,0.029617664667833284,-2.175166191899471,0.5443790662382685,0.12306278056869262,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_175,g__Lactobacillus,Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,1,0.029777973438831394,-2.173031142791574,0.5443790662382685,0.12313049401790038,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
OTU_463,g__Bulleidia,Bulleidia,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,1,0.042813464594979034,-2.0255251895688637,0.6125618780512385,0.1286938513144765,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE
