"rank_value","family","p_main","z_main","xA","xB","xC","clFDR"
"f__unclassified Streptophyta","unclassified Streptophyta",0.00248281267411943,-3.02542829600521,0,0,0,0.0617937944162201
"f__Micrococcaceae","Micrococcaceae",0.0139851280822197,-2.45764515580093,0,0,0,0.0692245434142846
"f__Clostridiaceae","Clostridiaceae",0.145825413983948,-1.45443618470685,-22.012084549426,0,0,0.0700787220776215
"f__Candidatus Izemoplasmataceae","Candidatus Izemoplasmataceae",0.0202547090575484,-2.32159582238908,0,0,0,0.0733594141877
"f__Fusobacteriaceae","Fusobacteriaceae",0.0525984433230223,-1.9382031440985,-3.9199279690801,0,0,0.0746822006371156
"f__Porphyromonadaceae","Porphyromonadaceae",0.0332669987034617,-2.12884606025029,0,8.54328494158939,0,0.076664288638767
"f__Dehalobacteriaceae","Dehalobacteriaceae",0.0296176646678333,-2.17516619189947,0,0,0,0.0786200648225102
"f__Lactobacillaceae","Lactobacillaceae",0.0297779734388314,-2.17303114279157,0,0,0,0.0787018401366174
"f__Muribaculaceae","Muribaculaceae",0.0553699874579377,-1.91596157008014,0,0,0,0.0908674069220649
"f__unclassified SHA-98","unclassified SHA-98",0.0578717878752207,-1.89666786198979,0,0,0,0.0919025573859347
"f__Eubacteriaceae","Eubacteriaceae",0.0612694034876251,-1.87154626498916,0,0,0,0.0932850483300908
"f__unclassified Clostridiales","unclassified Clostridiales",0.0721434170344687,-1.79821201018301,0,0,0,0.0978211290058299
"f__Erysipelotrichaceae","Erysipelotrichaceae",0.0721434170344687,-1.79821201018301,0,0,0,0.0978211290058299
"f__Enterococcaceae","Enterococcaceae",0.0820873968796232,-1.73870084757938,0,0,0,0.10155692018586
"f__Tissierellaceae","Tissierellaceae",0.105712380052797,-1.61776904387322,0,0,0,0.109927509311408
"f__mitochondria","mitochondria",0.122656336878079,-1.54371934869244,0,0,0,0.115606405204005
"f__Turicibacteraceae","Turicibacteraceae",0.128753342932731,-1.51903636424298,0,0,0,0.11759881369667
"f__unclassified RF32","unclassified RF32",0.133586410911984,-1.50010806985141,0,0,0,0.119161585361095
"f__Gemellaceae","Gemellaceae",0.147945186851883,-1.44682769911578,0,0,0,0.123727966128067
"f__Anaeroplasmataceae","Anaeroplasmataceae",0.172495855113239,-1.36422788309123,0,0,0,0.131319499535258
"f__unclassified ML615J-28","unclassified ML615J-28",0.172495855113239,-1.36422788309123,0,0,0,0.131319499535258
"f__Methanomassiliicoccaceae","Methanomassiliicoccaceae",0.172495855113239,-1.36422788309123,0,0,0,0.131319499535258
"f__Synergistaceae","Synergistaceae",0.172495855113239,-1.36422788309123,0,0,0,0.131319499535258
