"display_rank","taxon_key","z_main","p_main","A","B","C","auxiliary_information","direction"
1,"Ruminococcaceae",-3.72864549170301,0.000192511750602552,1.95996398454005,0,0,1.95996398454005,"Higher in R"
2,"unclassified Streptophyta",-3.02542829600521,0.00248281267411943,0,0,0,0,"Higher in R"
3,"Micrococcaceae",-2.45764515580093,0.0139851280822197,0,0,0,0,"Higher in R"
4,"Dehalobacteriaceae",-2.17516619189947,0.0296176646678333,0,0,0,0,"Higher in R"
5,"Lactobacillaceae",-2.17303114279157,0.0297779734388314,0,0,0,0,"Higher in R"
6,"Porphyromonadaceae",-2.12884606025029,0.0332669987034617,0,0,0,0,"Higher in R"
7,"Erysipelotrichaceae",-2.00976636432219,0.0444559223049665,0,0,0,0,"Higher in R"
8,"Fusobacteriaceae",-1.9382031440985,0.0525984433230223,0,0,0,0,"Higher in R"
9,"unclassified SHA-98",-1.89666786198979,0.0578717878752207,0,0,0,0,"Higher in R"
10,"Eubacteriaceae",-1.87154626498916,0.0612694034876252,0,0,0,0,"Higher in R"
